[2020-03-17T08:56:34.296] [INFO] http - [::ffff:127.0.0.1 POST /main 200 7ms][http://127.0.0.1:8007/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Safari/537.36]
[2020-03-17T08:56:34.349] [INFO] http - [::ffff:127.0.0.1 GET /index 304 3ms][http://127.0.0.1:8007/main HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Safari/537.36]
[2020-03-17T08:56:34.402] [INFO] http - [::ffff:127.0.0.1 GET /public/css/bootstrap.min.css.map 404 2ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Safari/537.36]
[2020-03-17T08:56:34.470] [INFO] http - [::ffff:127.0.0.1 GET /public/css/bootstrap.min.css.map 404 1ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Safari/537.36]
[2020-03-17T08:56:35.452] [INFO] http - [::ffff:127.0.0.1 GET /project?username=yyf 304 5ms][http://127.0.0.1:8007/main HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Safari/537.36]
[2020-03-17T08:56:35.501] [INFO] http - [::ffff:127.0.0.1 GET /public/css/bootstrap.min.css.map 404 2ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Safari/537.36]
[2020-03-17T08:56:35.703] [INFO] http - [::ffff:127.0.0.1 GET /public/plugins/datatables/pdfmake.min.js.map 404 2ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Safari/537.36]
[2020-03-17T08:56:35.747] [INFO] http - [::ffff:127.0.0.1 GET /vehice?username=yyf 304 4ms][http://127.0.0.1:8007/main HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Safari/537.36]
[2020-03-17T08:56:35.826] [INFO] http - [::ffff:127.0.0.1 GET /public/css/bootstrap.min.css.map 404 1ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Safari/537.36]
[2020-03-17T08:56:35.976] [INFO] http - [::ffff:127.0.0.1 GET /public/plugins/datatables/pdfmake.min.js.map 404 2ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Safari/537.36]
[2020-03-17T08:59:49.153] [INFO] http - [::ffff:127.0.0.1 POST /main 200 10ms][http://127.0.0.1:8007/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Safari/537.36]
[2020-03-17T08:59:49.228] [INFO] http - [::ffff:127.0.0.1 GET /index 304 8ms][http://127.0.0.1:8007/main HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Safari/537.36]
[2020-03-17T08:59:49.275] [INFO] http - [::ffff:127.0.0.1 GET /public/css/bootstrap.min.css.map 404 2ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Safari/537.36]
[2020-03-17T08:59:49.355] [INFO] http - [::ffff:127.0.0.1 GET /public/css/bootstrap.min.css.map 404 2ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Safari/537.36]
[2020-03-17T09:00:18.303] [INFO] http - [::ffff:127.0.0.1 POST /main 200 5ms][http://127.0.0.1:8007/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Safari/537.36]
[2020-03-17T09:00:18.352] [INFO] http - [::ffff:127.0.0.1 GET /index 200 4ms][http://127.0.0.1:8007/main HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Safari/537.36]
[2020-03-17T09:00:18.425] [INFO] http - [::ffff:127.0.0.1 GET /public/css/bootstrap.min.css.map 404 2ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Safari/537.36]
[2020-03-17T09:00:18.474] [INFO] http - [::ffff:127.0.0.1 GET /public/css/bootstrap.min.css.map 404 1ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Safari/537.36]
[2020-03-17T09:00:19.778] [INFO] http - [::ffff:127.0.0.1 GET /user?username=yyf 304 20ms][http://127.0.0.1:8007/main HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Safari/537.36]
[2020-03-17T09:00:19.850] [INFO] http - [::ffff:127.0.0.1 GET /public/css/bootstrap.min.css.map 404 2ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Safari/537.36]
[2020-03-17T09:00:20.068] [INFO] http - [::ffff:127.0.0.1 GET /public/plugins/datatables/pdfmake.min.js.map 404 2ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Safari/537.36]
[2020-03-17T09:00:20.160] [INFO] http - [::ffff:127.0.0.1 GET /updateuser?username=yyf 304 4ms][http://127.0.0.1:8007/main HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Safari/537.36]
[2020-03-17T09:00:20.251] [INFO] http - [::ffff:127.0.0.1 GET /public/css/bootstrap.min.css.map 404 2ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Safari/537.36]
[2020-03-17T09:00:20.398] [INFO] http - [::ffff:127.0.0.1 GET /public/plugins/datatables/pdfmake.min.js.map 404 1ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Safari/537.36]
